ZipCode,AssessTot,LandUse,Address,MaxValues,,,,,,
10001,9142650,5,224 WEST 30 STREET,,,,,,,
10001,9012600,5,29 WEST 30 STREET,,,,,,,
10001,9002250,5,253 WEST 35 STREET,,,,,,,
10001,9000450,5,363 7 AVENUE,,,,,,,
10001,8757450,5,145 WEST 30 STREET,,,,,,,
10001,8702100,6,134 WEST 29 STREET,,,,,,,
10001,8626500,5,1141 BROADWAY,,,,,,,
10001,8616150,5,226 WEST 26 STREET,,,,,,,
10001,8612377,5,44 WEST 29 STREET,,,,,,,
10001,8549100,4,245 10 AVENUE,,,,,,,
10001,8539650,5,3 WEST 35 STREET,,,,,,,
10001,8488350,3,114 WEST 29 STREET,,,,,,,
10001,8404200,5,248 WEST 35 STREET,,,,,,,
10001,8398800,5,138 WEST 25 STREET,,,,,,,
10001,8374950,5,39 WEST 31 STREET,,,,,,,
10001,8346150,11,440 WEST 31 STREET,,,,,,,
10001,8280450,4,455 WEST 34 STREET,,,,,,,
10001,8266500,5,40 WEST 35 STREET,,,,,,,
10001,8255250,8,270 5 AVENUE,,,,,,,
10001,8205300,6,22 WEST 32 STREET,,,,,,,
10001,8165700,5,104 WEST 29 STREET,,,,,,,
10001,8161650,9,529 WEST 35 STREET,,,,,,,
10001,8091000,6,127 WEST 26 STREET,,,,,,,
10001,8087400,10,9 WEST 35 STREET,,,,,,,
10001,7988850,6,251 WEST 30 STREET,,,,,,,
10001,7982100,5,1214 BROADWAY,,,,,,,
10001,7979850,5,152 WEST 34 STREET,,,,,,,
10001,7927650,5,32 WEST 34 STREET,,,,,,,
10001,7917300,4,261 WEST 28 STREET,,,,,,,
10001,7903350,3,363 WEST 30 STREET,,,,,,,
10001,7892100,5,150 WEST 28 STREET,,,,,,,
10001,7858349,5,137 WEST 25 STREET,,,,,,,
10001,7765200,11,358 10 AVENUE,,,,,,,
10001,7700850,4,136 WEST 34 STREET,,,,,,,
10001,7688250,6,122 WEST 27 STREET,,,,,,,
10001,7669800,6,131 WEST 35 STREET,,,,,,,
10001,7628400,3,444 WEST 35 STREET,,,,,,,
10001,7540200,8,230 WEST 27 STREET,,,,,,,
10001,7495198,4,146 WEST 26 STREET,,,,,,,
10001,7491600,5,159 WEST 25 STREET,,,,,,,
10001,7420500,5,135 WEST 29 STREET,,,,,,,
10001,7410600,8,315 WEST 34 STREET,,,,,,,
10001,7257600,5,11 WEST 34 STREET,,,,,,,
10001,7144200,5,28 WEST 27 STREET,,,,,,,
10001,7140600,3,2 WEST 29 STREET,,,,,,,
10001,7109550,5,242 WEST 30 STREET,,,,,,,
10001,6990750,3,46 WEST 29 STREET,,,,,,,
10001,6989850,6,134 WEST 26 STREET,,,,,,,
10001,6975000,6,122 WEST 26 STREET,,,,,,,
10001,6944850,9,534 WEST 35 STREET,,,,,,,
10001,6913800,4,526 WEST 28 STREET,,,,,,,
10001,6894000,8,413 WEST 34 STREET,,,,,,,
10001,6876450,5,140 WEST 34 STREET,,,,,,,
10001,6848550,5,549 WEST 26 STREET,,,,,,,
10001,6766329,5,127 WEST 25 STREET,,,,,,,
10001,6735600,5,12 WEST 27 STREET,,,,,,,
10001,6714450,3,440 WEST 34 STREET,,,,,,,
10001,6640200,5,261 WEST 35 STREET,,,,,,,
10001,6626250,10,323 WEST 34 STREET,,,,,,,
10001,6615000,6,236 WEST 27 STREET,,,,,,,
10001,6582600,5,16 WEST 32 STREET,,,,,,,
10001,6570450,4,138 WEST 34 STREET,,,,,,,
10001,6537150,6,11 WEST 32 STREET,,,,,,,
10001,6489900,6,129 WEST 27 STREET,,,,,,,
10001,6468750,5,247 WEST 35 STREET,,,,,,,
10001,6440400,5,480 8 AVENUE,,,,,,,
10001,6410250,4,342 9 AVENUE,,,,,,,
10001,6409350,4,533 WEST 27 STREET,,,,,,,
10001,6373800,6,442 WEST 31 STREET,,,,,,,
10001,6331050,3,537 WEST 27 STREET,,,,,,,
