ZipCode,AssessTot,LandUse
10001,1995750,4
10001,1992150,2
10001,1952550,3
10001,1942650,5
10001,1925550,3
10001,1920150,8
10001,1916100,4
10001,1910250,11
10001,1906200,5
10001,1899000,10
10001,1890000,5
10001,1880100,2
10001,1849950,4
10001,1843650,5
10001,1840950,3
10001,1834650,8
10001,1827360,11
10001,1825650,5
10001,1813050,5
10001,1804050,5
10001,1794150,5
10001,1791900,4
10001,1787850,2
10001,1782900,5
10001,1773450,2
10001,1768050,3
10001,1757250,5
10001,1754100,5
10001,1742400,5
10001,1735650,6
10001,1695150,3
10001,1689300,5
10001,1688850,5
10001,1675800,4
10001,1665900,5
10001,1662750,5
10001,1658250,4
10001,1653300,2
10001,1653300,4
10001,1651050,6
10001,1651050,5
10001,1649700,2
10001,1638000,11
10001,1613250,4
10001,1611450,5
10001,1610100,4
10001,1607400,4
10001,1588285,3
10001,1559700,4
10001,1556100,4
10001,1554300,5
10001,1553400,5
10001,1547550,4
10001,1537650,5
10001,1532700,5
10001,1532250,4
10001,1523250,3
10001,1521450,5
10001,1515600,5
10001,1513800,5
10001,1511754,4
10001,1493100,8
10001,1493100,4
10001,1476000,5
10001,1475550,10
10001,1467000,5
10001,1460250,8
10001,1459800,5
10001,1455300,5
10001,1443600,4
10001,1435500,5
10001,1431450,5
10001,1416150,4
10001,1412640,4
10001,1410750,5
10001,1408050,2
10001,1407150,5
10001,1390500,5
10001,1354050,4
10001,1354050,4
10001,1351800,4
10001,1345500,3
10001,1340550,6
10001,1337400,5
10001,1336050,5
10001,1335600,5
10001,1333350,11
10001,1332900,5
10001,1326150,5
10001,1322550,5
10001,1315350,5
10001,1307250,2
10001,1307250,2
10001,1300950,2
10001,1297350,4
10001,1287450,4
10001,1286550,11
10001,1286100,2
10001,1280700,2
10001,1279350,10
10001,1276650,5
10001,1274400,4
10001,1271250,4
10001,1265850,5
10001,1265400,5
10001,1262596,4
10001,1259100,5
10001,1251900,5
10001,1251900,4
10001,1241550,5
10001,1233900,4
10001,1231200,4
10001,1228516,5
10001,1227150,5
10001,1222650,5
10001,1213650,8
10001,1210950,4
10001,1210050,6
10001,1209600,2
10001,1195200,6
10001,1189350,5
10001,1178100,6
10001,1177200,6
10001,1174950,5
10001,1174950,5
10001,1174500,5
10001,1161900,5
10001,1161900,4
10001,1154700,3
10001,1150650,5
10001,1149300,11
10001,1120950,5
10001,1120950,5
10001,1120950,5
10001,1114650,4
10001,1094850,2
10001,1090350,2
10001,1081800,5
10001,1081350,5
10001,1066050,10
10001,1045800,4
10001,1039950,5
10001,1036800,10
10001,1034100,5
10001,1033200,5
10001,1032300,2
10001,1029600,5
10001,1026000,2
10001,1022850,4
10001,1022400,5
10001,1008000,2
10001,1002179,4
10001,1001250,6
10001,991350,2
10001,991350,4
10001,989550,5
10001,987750,8
10001,983700,4
10001,982350,8
10001,981000,4
10001,980100,4
10001,978300,5
10001,977850,2
10001,975600,8
10001,970650,10
10001,968850,2
10001,968400,5
10001,962550,4
10001,960750,2
10001,957150,10
10001,957150,5
10001,955783,4
10001,950850,5
10001,945000,4
10001,941850,5
10001,937350,5
10001,935100,7
10001,934200,5
10001,934200,4
10001,930150,4
10001,929700,2
10001,928800,4
10001,925650,11
10001,924750,8
10001,922409,4
10001,915300,4
10001,914453,2
10001,908100,5
10001,906300,5
10001,904950,4
10001,901836,2
10001,898200,4
10001,895500,5
10001,887400,3
10001,886950,10
10001,884700,2
10001,879750,5
10001,879642,4
10001,868950,2
10001,864900,2
10001,864900,11
